2009,2,15,0.1
2009,2,16,0.4
2009,2,19,0.3
2009,2,26,0.3
2009,3,1,0.8
2009,3,4,0.4
2009,3,5,38.5
2009,3,6,11.6
2009,3,7,0.2
2009,3,8,0.1
2009,3,9,0.4
2009,3,21,0.1
2009,3,24,27.1
2009,3,25,27.9
2009,3,27,10.4
2009,3,28,0.6
2009,3,29,2.6
2009,4,6,8.1
2009,4,7,0.6
2009,4,13,5
2009,4,15,4.3
2009,4,16,2.9
2009,4,18,34.1
2009,4,19,4.5
2009,4,21,1.5
2009,4,23,0.2
2009,4,25,43
2009,4,26,4.5
2009,5,4,0.3
2009,5,16,0.1
2009,5,17,0.2
2009,5,19,0.3
2009,5,20,10.9
2009,5,21,1.4
2009,5,22,2.3
2009,5,23,62.3
2009,5,24,61.2
2009,5,25,29.8
2009,5,26,20.2
2009,5,27,39.2
2009,5,28,11.5
2009,5,29,5.5
2009,6,3,10.4
2009,6,4,36.8
2009,6,8,11.2
2009,6,9,16.5
2009,6,11,49.2
2009,6,12,7.9
2009,6,14,24
2009,6,15,17.3
2009,6,16,6.1
2009,6,19,5.7
2009,6,22,15.7
2009,6,23,12.5
2009,6,24,8.5
2009,6,25,6.6
2009,6,26,17.7
2009,6,27,46.9
2009,6,28,48.7
2009,6,30,0.1
2009,7,3,0.5
2009,7,4,17.4
2009,7,5,49.6
2009,7,6,31.2
2009,7,7,20.1
2009,7,11,8.1
2009,7,15,4.8
2009,7,16,0.8
2009,7,17,0.4
2009,7,18,11.7
2009,7,19,124.6
2009,7,20,8.1
2009,7,21,0.6
2009,7,23,7.6
2009,7,24,2.6
2009,7,25,8.3
2009,7,26,24.1
2009,7,27,33.6
2009,7,28,10.2
2009,7,29,2.4
2009,7,30,14
2009,7,31,8.7
2009,8,3,21.4
2009,8,4,21.3
2009,8,5,92.5
2009,8,6,8.3
2009,8,10,21.8
2009,8,11,32.2
2009,8,12,3.1
2009,8,13,70.7
2009,8,14,44.9
2009,8,17,2
2009,8,18,12.7
2009,8,19,0.3
2009,8,30,2.4
2009,8,31,0.5
2009,9,9,37.1
2009,9,10,0.9
2009,9,11,11.8
2009,9,12,5.7
2009,9,13,23.4
2009,9,14,38.8
2009,9,15,190.3
2009,9,16,20.5
2009,9,21,9.5
2009,9,22,1.3
2009,9,26,0.3
2009,9,28,52.7
2009,9,29,31
2009,9,30,63
2009,10,7,25.4
2009,10,11,5.1
2009,10,12,1.5
2009,10,14,9.5
2009,10,19,2
2009,10,20,0.9
2009,11,12,5.2
2009,11,13,0.2
2009,11,15,20.2
2009,11,16,34.8
2009,12,7,5.5
2009,12,8,14.1
2009,12,9,0.4
2009,12,14,1
2009,12,15,9.6
2009,12,16,3.8
2009,12,27,3.1
2009,12,28,5.7
2009,12,29,3.5
2009,12,30,2.5
2009,12,31,1
2010,1,2,5.2
